date,index_value,constituent_count
2023-12-20,1000.000000,30
2023-12-21,1034.355825,30
2023-12-22,1027.376083,30
2023-12-23,1023.141500,30
2023-12-24,1012.260344,30
2023-12-25,994.401460,30
2023-12-26,1004.159578,30
2023-12-27,974.735648,30
2023-12-28,988.364220,30
2023-12-29,968.653297,30
2023-12-30,957.384139,30
2023-12-31,962.382413,30
2024-01-01,965.115661,30
2024-01-02,1013.176399,30
2024-01-03,1041.700447,30
2024-01-04,996.891474,30
2024-01-05,1030.306414,30
2024-01-06,1034.663188,30
2024-01-07,1037.622544,30
2024-01-08,1043.202402,30
2024-01-09,1121.180324,30
2024-01-10,1098.366017,30
2024-01-11,1086.072658,30
2024-01-12,1071.931706,30
2024-01-13,981.354993,30
2024-01-14,972.774252,30
2024-01-15,950.443060,30
2024-01-16,968.268242,30
2024-01-17,980.074512,30
2024-01-18,971.729535,30
2024-01-19,937.425207,30
2024-01-20,946.721506,30
2024-01-21,947.338332,30
2024-01-22,946.872704,30
2024-01-23,903.206030,30
2024-01-24,919.152297,30
2024-01-25,926.787162,30
2024-01-26,924.103479,30
2024-01-27,974.501038,30
2024-01-28,980.536422,30
2024-01-29,977.848879,30
2024-01-30,1006.779194,30
2024-01-31,995.615666,30
2024-02-01,995.421410,30
2024-02-02,1007.059563,30
2024-02-03,1006.202748,30
2024-02-04,1002.562656,30
2024-02-05,993.014633,30
2024-02-06,993.763249,30
2024-02-07,1001.512398,30
2024-02-08,1030.138731,30
2024-02-09,1061.991874,30
2024-02-10,1108.649322,30
2024-02-11,1126.079554,30
2024-02-12,1139.385362,30
2024-02-13,1181.059874,30
2024-02-14,1174.073763,30
2024-02-15,1222.025559,30
2024-02-16,1220.158604,30
2024-02-17,1228.681958,30
2024-02-18,1216.844132,30
2024-02-19,1221.594227,30
2024-02-20,1202.475498,30
2024-02-21,1215.624862,30
2024-02-22,1207.373387,30
2024-02-23,1192.795330,30
2024-02-24,1181.532263,30
2024-02-25,1195.014191,30
2024-02-26,1191.795845,30
2024-02-27,1265.724412,30
2024-02-28,1337.851215,30
2024-02-29,1494.200565,30
2024-03-01,1454.350563,30
2024-03-02,1471.927863,30
2024-03-03,1448.163899,30
2024-03-04,1474.841521,30
2024-03-05,1612.280580,30
2024-03-06,1510.471232,30
2024-03-07,1537.618381,30
2024-03-08,1550.450922,30
2024-03-09,1587.030733,30
2024-03-10,1588.431221,30
2024-03-11,1609.291706,30
2024-03-12,1676.599405,30
2024-03-13,1662.205860,30
2024-03-14,1696.213391,30
2024-03-15,1652.356697,30
2024-03-16,1606.954741,30
2024-03-17,1511.781852,30
2024-03-18,1584.162018,30
2024-03-19,1576.434467,30
2024-03-20,1455.468903,30
2024-03-21,1582.278677,30
2024-03-22,1517.234964,30
2024-03-23,1471.750237,30
2024-03-24,1488.220919,30
2024-03-25,1564.110215,30
2024-03-26,1629.125350,30
2024-03-27,1631.485006,30
2024-03-28,1621.904724,30
2024-03-29,1651.623696,30
2024-03-30,1624.242778,30
2024-03-31,1622.315748,30
2024-04-01,1651.311312,30
2024-04-02,1629.573509,30
2024-04-03,1528.580105,30
2024-04-04,1547.634836,30
2024-04-05,1617.575615,30
2024-04-06,1604.546912,30
2024-04-07,1629.354479,30
2024-04-08,1631.876243,30
2024-04-09,1676.169924,30
2024-04-10,1622.001115,30
2024-04-11,1660.421564,30
2024-04-12,1651.263391,30
2024-04-13,1609.443338,30
2024-04-14,1563.895529,30
2024-04-15,1579.552930,30
2024-04-16,1521.428492,30
2024-04-17,1535.709689,30
2024-04-18,1473.111574,30
2024-04-19,1524.798021,30
2024-04-20,1541.324003,30
2024-04-21,1548.668116,30
2024-04-22,1552.346230,30
2024-04-23,1598.009513,30
2024-04-24,1580.551952,30
2024-04-25,1528.684793,30
2024-04-26,1533.799663,30
2024-04-27,1520.303688,30
2024-04-28,1500.467995,30
2024-04-29,1486.987136,30
2024-04-30,1517.263766,30
2024-05-01,1447.518567,30
2024-05-02,1371.334589,30
2024-05-03,1396.997421,30
2024-05-04,1492.738794,30
2024-05-05,1520.080110,30
2024-05-06,1521.877198,30
2024-05-07,1500.397921,30
2024-05-08,1484.328975,30
2024-05-09,1453.928885,30
2024-05-10,1500.250071,30
2024-05-11,1446.104187,30
2024-05-12,1442.643206,30
2024-05-13,1465.001367,30
2024-05-14,1505.261067,30
2024-05-15,1476.462437,30
2024-05-16,1596.931945,30
2024-05-17,1576.282845,30
2024-05-18,1612.814597,30
2024-05-19,1606.517868,30
2024-05-20,1595.239946,30
2024-05-21,1692.769999,30
2024-05-22,1644.035714,30
2024-05-23,1619.325311,30
2024-05-24,1582.919809,30
2024-05-25,1607.607891,30
2024-05-26,1625.524203,30
2024-05-27,1600.579179,30
2024-05-28,1617.133771,30
2024-05-29,1588.772712,30
2024-05-30,1578.236279,30
2024-05-31,1607.596929,30
2024-06-01,1579.850415,30
2024-06-02,1582.806791,30
2024-06-03,1588.246858,30
2024-06-04,1618.862212,30
2024-06-05,1658.635129,30
2024-06-06,1668.897242,30
2024-06-07,1662.231347,30
2024-06-08,1641.103110,30
2024-06-09,1645.830162,30
2024-06-10,1652.093713,30
2024-06-11,1658.372193,30
2024-06-12,1614.486236,30
2024-06-13,1627.129227,30
2024-06-14,1596.420750,30
2024-06-15,1576.993980,30
2024-06-16,1572.962421,30
2024-06-17,1579.529524,30
2024-06-18,1592.189853,30
2024-06-19,1557.760282,30
2024-06-20,1543.293611,30
2024-06-21,1545.483724,30
2024-06-22,1520.718481,30
2024-06-23,1527.625828,30
2024-06-24,1507.012143,30
2024-06-25,1424.254170,30
2024-06-26,1460.223739,30
2024-06-27,1431.885384,30
2024-06-28,1443.561414,30
2024-06-29,1417.308619,30
2024-06-30,1434.602974,30
2024-07-01,1482.603553,30
2024-07-02,1486.266912,30
2024-07-03,1457.765784,30
2024-07-04,1422.825461,30
2024-07-05,1362.868509,30
2024-07-06,1355.298062,30
2024-07-07,1381.896602,30
2024-07-08,1335.652196,30
2024-07-09,1344.828437,30
2024-07-10,1379.983289,30
2024-07-11,1366.900056,30
2024-07-12,1358.015765,30
2024-07-13,1366.495424,30
2024-07-14,1397.888211,30
2024-07-15,1443.293589,30
2024-07-16,1533.436172,30
2024-07-17,1546.863850,30
2024-07-18,1521.652521,30
2024-07-19,1515.594970,30
2024-07-20,1587.280563,30
2024-07-21,1598.208627,30
2024-07-22,1618.805382,30
2024-07-23,1616.971980,30
2024-07-24,1567.028164,30
2024-07-25,1561.936889,30
2024-07-26,1591.524490,30
2024-07-27,1643.191032,30
2024-07-28,1649.174266,30
2024-07-29,1654.950210,30
2024-07-30,1609.352482,30
2024-07-31,1596.334973,30
2024-08-01,1556.010922,30
2024-08-02,1583.523629,30
2024-08-03,1493.172017,30
2024-08-04,1485.278674,30
2024-08-05,1428.052266,30
2024-08-06,1333.701491,30
2024-08-07,1383.740466,30
2024-08-08,1363.140457,30
2024-08-09,1532.316595,30
2024-08-10,1513.972489,30
2024-08-11,1511.622761,30
2024-08-12,1461.269728,30
2024-08-13,1456.616823,30
2024-08-14,1497.650982,30
2024-08-15,1442.346933,30
2024-08-16,1417.800723,30
2024-08-17,1458.271798,30
2024-08-18,1469.837870,30
2024-08-19,1439.378601,30
2024-08-20,1465.446952,30
2024-08-21,1451.777125,30
2024-08-22,1511.758346,30
2024-08-23,1484.347437,30
2024-08-24,1579.821977,30
2024-08-25,1581.852899,30
2024-08-26,1591.995952,30
2024-08-27,1562.685689,30
2024-08-28,1482.339070,30
2024-08-29,1460.657570,30
2024-08-30,1473.486223,30
2024-08-31,1467.506907,30
2024-09-01,1464.795671,30
2024-09-02,1429.492812,30
2024-09-03,1470.702228,30
2024-09-04,1434.042184,30
2024-09-05,1448.730168,30
2024-09-06,1398.857002,30
2024-09-07,1346.292193,30
2024-09-08,1345.188832,30
2024-09-09,1360.547812,30
2024-09-10,1419.253570,30
2024-09-11,1433.566332,30
2024-09-12,1430.401675,30
2024-09-13,1446.376404,30
2024-09-14,1515.980251,30
2024-09-15,1499.050409,30
2024-09-16,1488.241734,30
2024-09-17,1461.404013,30
2024-09-18,1523.834404,30
2024-09-19,1554.167528,30
2024-09-20,1587.330358,30
2024-09-21,1580.838117,30
2024-09-22,1577.481784,30
2024-09-23,1590.696533,30
2024-09-24,1572.762911,30
2024-09-25,1598.129834,30
2024-09-26,1571.395009,30
2024-09-27,1621.286730,30
2024-09-28,1630.630163,30
2024-09-29,1637.779738,30
2024-09-30,1630.521112,30
2024-10-01,1569.723464,30
2024-10-02,1516.746591,30
2024-10-03,1525.084451,30
2024-10-04,1531.320936,30
2024-10-05,1560.998603,30
2024-10-06,1561.698966,30
2024-10-07,1578.174213,30
2024-10-08,1564.996862,30
2024-10-09,1559.083267,30
2024-10-10,1518.850387,30
2024-10-11,1505.529375,30
2024-10-12,1564.619957,30
2024-10-13,1583.557691,30
2024-10-14,1573.660268,30
2024-10-15,1654.580469,30
2024-10-16,1690.302018,30
2024-10-17,1710.683526,30
2024-10-18,1705.235730,30
2024-10-19,1732.575439,30
2024-10-20,1727.444048,30
2024-10-21,1731.912798,30
2024-10-22,1691.050375,30
2024-10-23,1695.342858,30
2024-10-24,1683.735665,30
2024-10-25,1727.982542,30
2024-10-26,1703.704458,30
2024-10-27,1704.999624,30
2024-10-28,1727.945396,30
2024-10-29,1781.086104,30
2024-10-30,1865.049392,30
2024-10-31,1853.681000,30
2024-11-01,1809.064167,30
2024-11-02,1785.420060,30
2024-11-03,1783.405846,30
2024-11-04,1776.964391,30
2024-11-05,1753.411014,30
2024-11-06,1791.491654,30
2024-11-07,1947.341727,30
2024-11-08,1935.738120,30
2024-11-09,1942.698746,30
2024-11-10,1918.559029,30
2024-11-11,2014.763636,30
2024-11-12,2238.859677,30
2024-11-13,2237.233447,30
2024-11-14,2320.629472,30
2024-11-15,2238.231536,30
2024-11-16,2328.979168,30
2024-11-17,2296.108757,30
2024-11-18,2274.974753,30
2024-11-19,2273.377651,30
2024-11-20,2341.137650,30
2024-11-21,2414.541901,30
2024-11-22,2506.090801,30
2024-11-23,2494.332704,30
2024-11-24,2429.021033,30
2024-11-25,2442.772613,30
2024-11-26,2298.934745,30
2024-11-27,2278.510010,30
2024-11-28,2356.616908,30
2024-11-29,2350.675103,30
2024-11-30,2382.166338,30
2024-12-01,2337.473251,30
2024-12-02,2338.742902,30
2024-12-03,2273.216114,30
2024-12-04,2261.052850,30
2024-12-05,2347.244887,30
2024-12-06,2300.756282,30
2024-12-07,2354.212549,30
2024-12-08,2338.490626,30
2024-12-09,2381.199757,30
2024-12-10,2351.810321,30
2024-12-11,2336.511793,30
2024-12-12,2436.512640,30
2024-12-13,2393.171323,30
2024-12-14,2427.726056,30
2024-12-15,2443.859389,30
2024-12-16,2532.815635,30
2024-12-17,2578.294177,30
2024-12-18,2589.981787,30
2024-12-19,2469.177604,30
